rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
1,Hagane no Renkinjutsushi: Fullmetal Alchemist,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5114-4CpuT7iWcZ37.png,https://anilist.co/anime/5114/Hagane-no-Renkinjutsushi-Fullmetal-Alchemist/,"['Action', 'Adventure', 'Drama', 'Fantasy']",91,223398,TV Show,64,Spring 2009,Finished,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Hunter x Hunter (2011),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11061-sIpBprNRfzCe.png,https://anilist.co/anime/11061/Hunter-x-Hunter-2011/,"['Action', 'Adventure', 'Fantasy']",90,231623,TV Show,148,2011 - 2014,Finished,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shingeki no Kyojin 3 Part 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104578-LaZYFkmhinfB.jpg,https://anilist.co/anime/104578/Shingeki-no-Kyojin-3-Part-2/,"['Action', 'Drama', 'Fantasy', 'Mystery']",90,136781,TV Show,10,Spring 2019,Finished,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3-gatsu no Lion 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98478-dF3mpSKiZkQu.jpg,https://anilist.co/anime/98478/3gatsu-no-Lion-2/,"['Drama', 'Slice of Life']",90,49515,TV Show,22,Fall 2017,Finished,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Gintama°,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20996-qYCvgsFuF9wk.png,https://anilist.co/anime/20996/Gintama/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",90,41536,TV Show,51,Spring 2015,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,Steins;Gate,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9253-7pdcVzQSkKxT.jpg,https://anilist.co/anime/9253/SteinsGate/,"['Drama', 'Psychological', 'Sci-Fi', 'Thriller']",90,192661,TV Show,24,Spring 2011,Finished,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
7,Owarimonogatari (Ge),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21745-vHwC1VKoL6zf.png,https://anilist.co/anime/21745/Owarimonogatari-Ge/,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",89,46380,TV Show,7,Summer 2017,Finished,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
8,Gintama',https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9969-XyP8TZwb3L6S.png,https://anilist.co/anime/9969/Gintama/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",89,39436,TV Show,51,Spring 2011,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21698-RL71mr1YU5Io.png,https://anilist.co/anime/21698/Haikyuu-Karasuno-Koukou-VS-Shiratorizawa-Gakuen-Koukou/,"['Comedy', 'Drama', 'Sports']",89,111948,TV Show,10,Fall 2016,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10,Koe no Katachi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20954-RYEF5mWglzV8.png,https://anilist.co/anime/20954/Koe-no-Katachi/,"['Drama', 'Romance', 'Slice of Life']",89,192007,Movie,2,Summer 2016,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,Gintama': Enchousen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx15417-tElVlFbOTDVp.png,https://anilist.co/anime/15417/Gintama-Enchousen/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",89,29216,TV Show,13,Fall 2012,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,Mob Psycho 100 II,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101338-7qOfIaEKSjgl.jpg,https://anilist.co/anime/101338/Mob-Psycho-100-II/,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",88,124129,TV Show,13,Winter 2019,Finished,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
13,Ginga Eiyuu Densetsu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/820.jpg,https://anilist.co/anime/820/Ginga-Eiyuu-Densetsu/,"['Drama', 'Sci-Fi']",88,30544,OVA,110,1988 - 1997,Finished,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Haikyuu!! 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20992-aHgNbcalVEqk.png,https://anilist.co/anime/20992/Haikyuu-2/,"['Comedy', 'Drama', 'Sports']",88,124088,TV Show,25,Fall 2015,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15,Monogatari Series: Second Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx17074-9lBqEOzptpam.png,https://anilist.co/anime/17074/Monogatari-Series-Second-Season/,"['Comedy', 'Mystery', 'Psychological', 'Romance', 'Supernatural']",88,72091,TV Show,26,Summer 2013,Finished,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
16,Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx15335-QjijwChGTBs0.png,https://anilist.co/anime/15335/Gintama-Kanketsuhen--Yorozuya-yo-Eien-Nare/,"['Action', 'Comedy', 'Sci-Fi']",88,21097,Movie,1,Summer 2013,Finished,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,Gintama.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97889-VwHMlrpbaF9x.png,https://anilist.co/anime/97889/Gintama/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",87,27865,TV Show,12,Winter 2017,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,Clannad: After Story,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4181-V1LCtX1rJgbR.png,https://anilist.co/anime/4181/Clannad-After-Story/,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",87,89891,TV Show,24,Fall 2008,Finished,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
19,Kimi no Na wa.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21519-XIr3PeczUjjF.png,https://anilist.co/anime/21519/Kimi-no-Na-wa/,"['Drama', 'Romance', 'Supernatural']",87,204035,Movie,1,Summer 2016,Finished,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20,Kizumonogatari III: Reiketsu-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21400-1OpNcuEs7osA.png,https://anilist.co/anime/21400/Kizumonogatari-III-Reiketsuhen/,"['Action', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']",87,51313,Movie,1,Winter 2017,Finished,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
21,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112641-zoGC8d6FaPXU.jpg,https://anilist.co/anime/112641/Kaguyasama-wa-Kokurasetai-Tensaitachi-no-Renai-Zunousen/,"['Comedy', 'Psychological', 'Romance', 'Slice of Life']",87,108048,TV Show,12,Spring 2020,Finished,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
22,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx21733-SUV6bCTsU51u.png,https://anilist.co/anime/21733/Shouwa-Genroku-Rakugo-Shinjuu-Sukeroku-Futatabihen/,['Drama'],87,23286,TV Show,12,Winter 2017,Finished,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Made in Abyss: Fukaki Tamashii no Reimei,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100643-fPH9OgEKKvcI.jpg,https://anilist.co/anime/100643/Made-in-Abyss-Fukaki-Tamashii-no-Reimei/,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",86,36526,Movie,1,Winter 2020,Finished,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Mushishi Zoku Shou 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20751-lBd1CEh0r7Kp.jpg,https://anilist.co/anime/20751/Mushishi-Zoku-Shou-2/,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",86,23842,TV Show,10,Fall 2014,Finished,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
25,Code Geass: Hangyaku no Lelouch R2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx2904-xdm9EZ46VGCs.jpg,https://anilist.co/anime/2904/Code-Geass-Hangyaku-no-Lelouch-R2/,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Thriller']",86,120444,TV Show,25,Spring 2008,Finished,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26,Sen to Chihiro no Kamikakushi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx199-ehguwq1mPvtN.jpg,https://anilist.co/anime/199/Sen-to-Chihiro-no-Kamikakushi/,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']",86,140353,Movie,2,Summer 2001,Finished,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
27,Vinland Saga,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101348-NrnGlz0NsJuG.jpg,https://anilist.co/anime/101348/Vinland-Saga/,"['Action', 'Adventure', 'Drama']",86,101034,TV Show,24,Summer 2019,Finished,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101925-gcA84dgcSj2w.png,https://anilist.co/anime/101925/Gintama-Shirogane-no-Tamashiihen--Kouhansen/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",86,17083,TV Show,14,Summer 2018,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29,Monster,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx19-95nNPzaSr2V5.jpg,https://anilist.co/anime/19/Monster/,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller']",86,67563,TV Show,74,Spring 2004,Finished,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
30,Cowboy Bebop,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1-CXtrrkMpJ8Zq.png,https://anilist.co/anime/1/Cowboy-Bebop/,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",86,139716,TV Show,26,Spring 1998,Finished,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Yakusoku no Neverland,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx101759-ONAwIKCFiNtE.jpg,https://anilist.co/anime/101759/Yakusoku-no-Neverland/,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Thriller']",86,177467,TV Show,12,Winter 2019,Finished,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
32,Suzumiya Haruhi no Shoushitsu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx7311-XKujx38wxBUq.jpg,https://anilist.co/anime/7311/Suzumiya-Haruhi-no-Shoushitsu/,"['Comedy', 'Mystery', 'Romance', 'Sci-Fi', 'Supernatural']",86,64225,Movie,2,Winter 2010,Finished,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
33,Made in Abyss,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97986-fzJBML9qecb4.jpg,https://anilist.co/anime/97986/Made-in-Abyss/,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",86,121996,TV Show,13,Summer 2017,Finished,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Kimetsu no Yaiba,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101922-PEn1CTc93blC.jpg,https://anilist.co/anime/101922/Kimetsu-no-Yaiba/,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Supernatural']",86,220183,TV Show,26,Spring 2019,Finished,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Mushishi Zoku Shou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20595-dXPvrTNRKFUb.jpg,https://anilist.co/anime/20595/Mushishi-Zoku-Shou/,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",86,28549,TV Show,10,Spring 2014,Finished,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
36,Hajime no Ippo: THE FIGHTING!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx263-G7RlubsM73YY.png,https://anilist.co/anime/263/Hajime-no-Ippo-THE-FIGHTING/,"['Comedy', 'Drama', 'Sports']",86,39386,TV Show,75,2000 - 2002,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,Haikyuu!! TO THE TOP 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113538-7oaqaTNMpL6r.png,https://anilist.co/anime/113538/Haikyuu-TO-THE-TOP-2/,"['Comedy', 'Drama', 'Sports']",86,59646,TV Show,12,Airing,Ep 8 airing in 2 days,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
38,Shingeki no Kyojin 3,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx99147-tbXmbeLCtfAw.jpg,https://anilist.co/anime/99147/Shingeki-no-Kyojin-3/,"['Action', 'Drama', 'Fantasy', 'Mystery']",86,162618,TV Show,12,Summer 2018,Finished,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Fruits Basket: 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx111762-VsqqGAy7bdE1.jpg,https://anilist.co/anime/111762/Fruits-Basket-2nd-Season/,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",85,40499,TV Show,25,Spring 2020,Finished,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
40,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104157-rk99XI56PaIC.jpg,https://anilist.co/anime/104157/Seishun-Buta-Yarou-wa-Yumemiru-Shoujo-no-Yume-wo-Minai/,"['Drama', 'Psychological', 'Romance', 'Supernatural']",85,60916,Movie,1,Spring 2019,Finished,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
41,Haikyuu!!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20464-qUgDKxP8DC6q.png,https://anilist.co/anime/20464/Haikyuu/,"['Comedy', 'Drama', 'Sports']",85,165731,TV Show,25,Spring 2014,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
42,ARIA The ORIGINATION,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3297-FHuyO7uiefNg.png,https://anilist.co/anime/3297/ARIA-The-ORIGINATION/,"['Fantasy', 'Sci-Fi', 'Slice of Life']",85,15673,TV Show,13,Winter 2008,Finished,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,Gintama.: Shirogane no Tamashii-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100784-pnqh6uiuFEsu.jpg,https://anilist.co/anime/100784/Gintama-Shirogane-no-Tamashiihen/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",85,19330,TV Show,12,Winter 2018,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44,Ashita no Joe 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b2921-QlF2OB2oZcvu.jpg,https://anilist.co/anime/2921/Ashita-no-Joe-2/,"['Action', 'Drama', 'Slice of Life', 'Sports']",85,4863,TV Show,47,Fall 1980,Finished,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
45,Natsume Yuujinchou Shi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11665-nfbt94cwKySE.png,https://anilist.co/anime/11665/Natsume-Yuujinchou-Shi/,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",85,22274,TV Show,13,Winter 2012,Finished,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46,Mushishi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx457-oLHkP2nVphfc.png,https://anilist.co/anime/457/Mushishi/,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",85,68613,TV Show,26,Fall 2005,Finished,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
47,Haikyuu!! TO THE TOP,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx106625-UR22wB2NuNVi.png,https://anilist.co/anime/106625/Haikyuu-TO-THE-TOP/,"['Comedy', 'Drama', 'Sports']",85,83852,TV Show,13,Winter 2020,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
48,Fate/stay night [Heaven's Feel] II. lost butterfly,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21718-Hjj26Sapx1bd.jpg,https://anilist.co/anime/21718/Fatestay-night-Heavens-Feel-II-lost-butterfly/,"['Action', 'Fantasy', 'Psychological', 'Supernatural']",85,34818,Movie,2,Winter 2019,Finished,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
49,Kizumonogatari II: Nekketsu-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21399-VTAdAqc8u5AE.png,https://anilist.co/anime/21399/Kizumonogatari-II-Nekketsuhen/,"['Action', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']",85,51036,Movie,1,Summer 2016,Finished,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
50,Ping Pong THE ANIMATION,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20607-gG1XChXDtzAB.jpg,https://anilist.co/anime/20607/Ping-Pong-THE-ANIMATION/,"['Drama', 'Psychological', 'Sports']",85,43560,TV Show,11,Spring 2014,Finished,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
51,Fate/Zero 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx11741-Twb6iJx77FFV.jpg,https://anilist.co/anime/11741/FateZero-2nd-Season/,"['Action', 'Fantasy', 'Supernatural', 'Thriller']",85,94307,TV Show,12,Spring 2012,Finished,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
52,Given,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108430-LcVOT7ntUbjT.jpg,https://anilist.co/anime/108430/Given/,"['Drama', 'Music', 'Romance', 'Slice of Life']",85,54817,TV Show,11,Summer 2019,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
53,BANANA FISH,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100388-s5QVETlAZrPa.jpg,https://anilist.co/anime/100388/BANANA-FISH/,"['Action', 'Adventure', 'Drama', 'Psychological', 'Thriller']",85,76289,TV Show,24,Summer 2018,Finished,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54,Shigatsu wa Kimi no Uso,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20665-CnzR2zVpdxtR.png,https://anilist.co/anime/20665/Shigatsu-wa-Kimi-no-Uso/,"['Drama', 'Music', 'Romance', 'Slice of Life']",85,182303,TV Show,22,Fall 2014,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
55,Mononoke-hime,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx164-QYmGmG2k09pL.jpg,https://anilist.co/anime/164/Mononokehime/,"['Action', 'Adventure', 'Drama', 'Fantasy']",85,90310,Movie,2,Summer 1997,Finished,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Natsume Yuujinchou Roku,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97983-Uqn04SR6hVW9.jpg,https://anilist.co/anime/97983/Natsume-Yuujinchou-Roku/,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",85,16217,TV Show,11,Spring 2017,Finished,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57,Tengen Toppa Gurren Lagann,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2001-7cvz7Jf8viMT.png,https://anilist.co/anime/2001/Tengen-Toppa-Gurren-Lagann/,"['Action', 'Comedy', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",85,130556,TV Show,27,Spring 2007,Finished,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
58,Gintama,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx918-lWneCW2xF7x6.png,https://anilist.co/anime/918/Gintama/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",85,85179,TV Show,201,2006 - 2010,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59,Yojouhan Shinwa Taikei,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx7785-TMqYIFkWDCgy.jpg,https://anilist.co/anime/7785/Yojouhan-Shinwa-Taikei/,"['Comedy', 'Mystery', 'Psychological', 'Romance']",85,50236,TV Show,11,Spring 2010,Finished,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
60,Hajime no Ippo: New Challenger,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5258-Qn6GBiSY57iT.jpg,https://anilist.co/anime/5258/Hajime-no-Ippo-New-Challenger/,"['Comedy', 'Drama', 'Sports']",85,18285,TV Show,26,Winter 2009,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
61,Shin Seiki Evangelion: THE END OF EVANGELION,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx32-i4ijZI4MuPiV.jpg,https://anilist.co/anime/32/Shin-Seiki-Evangelion-THE-END-OF-EVANGELION/,"['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']",85,66412,Movie,1,Summer 1997,Finished,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
62,JoJo no Kimyou na Bouken: Ougon no Kaze,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx102883-CZEVeUWllM26.png,https://anilist.co/anime/102883/JoJo-no-Kimyou-na-Bouken-Ougon-no-Kaze/,"['Action', 'Adventure', 'Mystery', 'Supernatural']",85,79891,TV Show,39,Fall 2018,Finished,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
63,Chihayafuru 3,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101215-8TTRNAYJnPMW.png,https://anilist.co/anime/101215/Chihayafuru-3/,"['Drama', 'Romance', 'Slice of Life', 'Sports']",85,16304,TV Show,24,Fall 2019,Finished,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
64,Saiki Kusuo no Ψ-nan 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx98034-1eQ4F7SKxVas.jpg,https://anilist.co/anime/98034/Saiki-Kusuo-no-nan-2/,"['Comedy', 'Slice of Life', 'Supernatural']",85,47315,TV Show,24,Winter 2018,Finished,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
65,Sora yori mo Tooi Basho,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99426-V1Ag20MPQ56z.png,https://anilist.co/anime/99426/Sora-yori-mo-Tooi-Basho/,"['Adventure', 'Comedy', 'Drama']",84,63010,TV Show,13,Winter 2018,Finished,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Ookami Kodomo no Ame to Yuki,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx12355-wNsvhEsXEgrH.png,https://anilist.co/anime/12355/Ookami-Kodomo-no-Ame-to-Yuki/,"['Drama', 'Fantasy', 'Romance', 'Slice of Life']",84,74551,Movie,1,Summer 2012,Finished,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
67,Code Geass: Hangyaku no Lelouch,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1575-ZJYlg8yjvMKI.jpg,https://anilist.co/anime/1575/Code-Geass-Hangyaku-no-Lelouch/,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Thriller']",84,147049,TV Show,25,Fall 2006,Finished,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
68,Kimi no Suizou wo Tabetai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99750-zadlgc0NMR46.jpg,https://anilist.co/anime/99750/Kimi-no-Suizou-wo-Tabetai/,"['Drama', 'Romance', 'Slice of Life']",84,69849,Movie,1,Summer 2018,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
69,Given Movie,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx111734-82sWJBotlzE8.png,https://anilist.co/anime/111734/Given-Movie/,"['Drama', 'Music', 'Romance', 'Slice of Life']",84,20582,Movie,59,Summer 2020,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
70,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108632-Z8LOaPpYPK93.jpg,https://anilist.co/anime/108632/ReZero-kara-Hajimeru-Isekai-Seikatsu-2nd-Season/,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Psychological']",84,95728,TV Show,13,Summer 2020,Finished,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21450-5V2eGJFSetkY.jpg,https://anilist.co/anime/21450/JoJo-no-Kimyou-na-Bouken-Diamond-wa-Kudakenai/,"['Action', 'Drama', 'Mystery', 'Supernatural']",84,85753,TV Show,39,Spring 2016,Finished,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72,Ansatsu Kyoushitsu 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21170-aDHIDkp1L2jC.jpg,https://anilist.co/anime/21170/Ansatsu-Kyoushitsu-2/,"['Action', 'Drama', 'Supernatural']",84,106212,TV Show,25,Winter 2016,Finished,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,Shouwa Genroku Rakugo Shinjuu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20972-95dyLz6lkCZ8.jpg,https://anilist.co/anime/20972/Shouwa-Genroku-Rakugo-Shinjuu/,['Drama'],84,35692,TV Show,13,Winter 2016,Finished,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
